Jahr,Einspeiseverguetung
2000,74.75088498707663
2001,73.79159426167489
2002,68.74318613867578
2003,64.41141291231453
2004,76.19349491978194
2005,71.24391749389058
2006,66.62059931208488
2007,62.298205573482825
2008,57.85398424674429
2009,51.86216148866669
2010,43.69061642399827
2011,34.20097275220236
2012,23.357773908476982
2013,17.428761567311728
2014,14.774823113343537
2015,14.12901789465388
2016,13.960932253773196
2017,13.818942115803962
2018,13.396527498551452
2019,11.700485867429771
2020,9.951124859879998
2021,8.063983683333332
2022,6.633145
